date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-19,AZ@BOS,BOS,4.5,Over,0.386,0.467,-0.081,107,betrivers,5,4.09,Expected Lineup,824722,1.07,-0.201,False,6,W,1.07
2026-08-19,AZ@BOS,BOS,4.5,Under,0.614,0.533,0.081,-130,draftkings,5,4.09,Expected Lineup,824722,0.7692,0.0863,True,6,L,-1.0
2026-08-19,AZ@BOS,BOS,5.5,Over,0.266,0.349,-0.082,170,williamhill_us,2,4.09,Expected Lineup,824722,1.7,-0.2818,False,6,W,1.7
2026-08-19,AZ@BOS,BOS,5.5,Under,0.734,0.651,0.082,-225,williamhill_us,2,4.09,Expected Lineup,824722,0.4444,0.0602,False,6,L,-1.0
2026-08-19,AZ@BOS,BOS,6.5,Over,0.175,0.258,-0.083,260,williamhill_us,1,4.09,Expected Lineup,824722,2.6,-0.37,False,6,L,-1.0
2026-08-19,AZ@BOS,BOS,6.5,Under,0.825,0.742,0.083,-400,williamhill_us,1,4.09,Expected Lineup,824722,0.25,0.0312,False,6,W,0.25
2026-08-19,AZ@BOS,BOS,7.5,Over,0.111,0.188,-0.077,400,williamhill_us,1,4.09,Expected Lineup,824722,4.0,-0.445,False,6,L,-1.0
2026-08-19,AZ@BOS,BOS,7.5,Under,0.889,0.812,0.077,-650,williamhill_us,1,4.09,Expected Lineup,824722,0.1538,0.0258,False,6,W,0.1538
2026-08-19,AZ@BOS,BOS,8.5,Over,0.069,0.134,-0.065,600,williamhill_us,1,4.09,Expected Lineup,824722,6.0,-0.517,False,6,L,-1.0
2026-08-19,AZ@BOS,BOS,8.5,Under,0.931,0.866,0.065,-1200,williamhill_us,1,4.09,Expected Lineup,824722,0.0833,0.0086,False,6,W,0.0833
2026-08-19,MIA@PHI,MIA,2.5,Over,0.811,0.688,0.124,-275,williamhill_us,1,5.65,CONF (statsapi),823424,0.3636,0.1059,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,2.5,Under,0.189,0.312,-0.124,200,williamhill_us,1,5.65,CONF (statsapi),823424,2.0,-0.433,False,1,W,2.0
2026-08-19,MIA@PHI,MIA,3.5,Over,0.701,0.555,0.146,-139,betrivers,4,5.65,CONF (statsapi),823424,0.7194,0.2053,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,3.5,Under,0.299,0.445,-0.146,115,williamhill_us,4,5.65,CONF (statsapi),823424,1.15,-0.3572,False,1,W,1.15
2026-08-19,MIA@PHI,MIA,4.5,Over,0.587,0.435,0.152,118,betrivers,3,5.65,CONF (statsapi),823424,1.18,0.2797,True,1,L,-1.0
2026-08-19,MIA@PHI,MIA,4.5,Under,0.413,0.565,-0.152,-145,draftkings,3,5.65,CONF (statsapi),823424,0.6897,-0.3022,False,1,W,0.6897
2026-08-19,MIA@PHI,MIA,5.5,Over,0.469,0.327,0.142,188,betrivers,2,5.65,CONF (statsapi),823424,1.88,0.3507,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,5.5,Under,0.531,0.673,-0.142,-250,williamhill_us,2,5.65,CONF (statsapi),823424,0.4,-0.2566,False,1,W,0.4
2026-08-19,MIA@PHI,MIA,6.5,Over,0.362,0.243,0.119,290,williamhill_us,1,5.65,CONF (statsapi),823424,2.9,0.4118,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,6.5,Under,0.638,0.757,-0.119,-400,williamhill_us,1,5.65,CONF (statsapi),823424,0.25,-0.2025,False,1,W,0.25
2026-08-19,MIA@PHI,MIA,7.5,Over,0.267,0.172,0.095,450,williamhill_us,1,5.65,CONF (statsapi),823424,4.5,0.4685,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,7.5,Under,0.733,0.828,-0.095,-700,williamhill_us,1,5.65,CONF (statsapi),823424,0.1429,-0.1623,False,1,W,0.1429
2026-08-19,MIA@PHI,MIA,8.5,Over,0.192,0.133,0.059,600,williamhill_us,1,5.65,CONF (statsapi),823424,6.0,0.344,False,1,L,-1.0
2026-08-19,MIA@PHI,MIA,8.5,Under,0.808,0.867,-0.059,-1400,williamhill_us,1,5.65,CONF (statsapi),823424,0.0714,-0.1343,False,1,W,0.0714
2026-08-19,MIA@PHI,PHI,2.5,Over,0.694,0.747,-0.054,-400,williamhill_us,1,4.22,CONF (statsapi),823424,0.25,-0.1325,False,4,W,0.25
2026-08-19,MIA@PHI,PHI,2.5,Under,0.306,0.253,0.054,270,williamhill_us,1,4.22,CONF (statsapi),823424,2.7,0.1322,False,4,L,-1.0
2026-08-19,MIA@PHI,PHI,3.5,Over,0.549,0.617,-0.068,-175,betrivers,2,4.22,CONF (statsapi),823424,0.5714,-0.1373,False,4,W,0.5714
2026-08-19,MIA@PHI,PHI,3.5,Under,0.451,0.383,0.068,160,williamhill_us,2,4.22,CONF (statsapi),823424,1.6,0.1726,False,4,L,-1.0
